Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.156713,1.40549,-0.0161374,-0.470297,0.0884181,0.133261,-0.250343,0.948795,0.151688,-0.0695837,1.04621,0.258584,0.0335284,0.731612,0.291805,-0.40492,0.0583633,0.0765193,-0.470637,0.485633,0.152173,-0.110935,0.946273,0.0289114,-0.17286,1.37167,0.17006,-0.641694,0.0769205,0.0706577,-0.0344255,0.797555,0.244557,0.0306786,0.825425,0.26298,0.185907,0.170178,-0.139342,-0.261336,0.924561,-0.162937,-0.383377,1.06594,-0.23475,-0.621115,0.841479,-0.132623,0.27298,0.183671,-0.0773962,-0.129827,0.446861,-0.159694,-0.117641,0.94333,-0.0340409,-0.283985,1.39735,-0.158389,0.109709,0.0561023,-0.0776248,-0.537951,0.914069,-0.106539,-0.530772,0.866609,-0.162765,-0.352483,1.17071,0.0423154
2,0.00999079,-0.157635,1.40588,-0.0139343,-0.459331,0.0886383,0.132674,-0.253962,0.950007,0.153282,-0.0742681,1.04544,0.26031,0.0237799,0.728976,0.292786,-0.392529,0.0590357,0.0769111,-0.473787,0.486009,0.154542,-0.11365,0.947223,0.0314918,-0.17465,1.37221,0.172207,-0.630441,0.0732125,0.0699476,-0.0425396,0.796185,0.245829,0.022749,0.823058,0.264325,0.184367,0.177376,-0.137985,-0.263001,0.924785,-0.160827,-0.38056,1.06575,-0.23213,-0.612546,0.832675,-0.134167,0.269435,0.198356,-0.0753654,-0.139683,0.444502,-0.162078,-0.120036,0.943703,-0.0314553,-0.284454,1.39836,-0.156633,0.118011,0.0578864,-0.077325,-0.531985,0.907497,-0.10678,-0.523206,0.861307,-0.163988,-0.355488,1.17229,0.0444978
3,0.0199816,-0.158291,1.40629,-0.0118169,-0.447907,0.0887443,0.132035,-0.257071,0.951026,0.155193,-0.0794594,1.04473,0.262122,0.0133566,0.726373,0.293696,-0.380219,0.0594125,0.0767155,-0.474898,0.485728,0.157022,-0.116098,0.948072,0.0338838,-0.176525,1.37291,0.174314,-0.618792,0.0703229,0.0694571,-0.05178,0.795048,0.246874,0.0139852,0.820677,0.265813,0.182164,0.185701,-0.136807,-0.264521,0.925016,-0.158626,-0.377822,1.06572,-0.230178,-0.603154,0.823928,-0.136109,0.264174,0.213791,-0.073266,-0.150124,0.442081,-0.164064,-0.122126,0.943952,-0.0290481,-0.284575,1.39936,-0.154996,0.124545,0.0609328,-0.0767705,-0.525323,0.901114,-0.107425,-0.515017,0.856275,-0.165494,-0.358432,1.17382,0.0461735
4,0.0299724,-0.15868,1.40676,-0.00974053,-0.436068,0.0888859,0.13119,-0.259664,0.951829,0.157407,-0.0851077,1.04406,0.264033,0.00206279,0.723763,0.294592,-0.36747,0.0598274,0.0765719,-0.474418,0.484712,0.15927,-0.118328,0.948727,0.0361552,-0.178477,1.37374,0.176417,-0.606925,0.0684045,0.0691824,-0.0617159,0.793902,0.248009,0.00444114,0.818265,0.267465,0.178953,0.194855,-0.135537,-0.265855,0.925217,-0.156411,-0.374755,1.0657,-0.228445,-0.592932,0.815176,-0.138367,0.256943,0.229664,-0.0709609,-0.161025,0.439602,-0.165403,-0.123883,0.944012,-0.0267872,-0.284336,1.40034,-0.153521,0.129313,0.0649338,-0.0760992,-0.517999,0.894824,-0.108465,-0.506284,0.851502,-0.167386,-0.361207,1.17527,0.0473444
5,0.0399632,-0.158786,1.40735,-0.00760512,-0.424042,0.0890883,0.130213,-0.261748,0.952492,0.159848,-0.0911999,1.04339,0.266031,-0.0108707,0.721003,0.295732,-0.354783,0.0600314,0.0764551,-0.472962,0.483064,0.160746,-0.120283,0.949112,0.0383686,-0.180471,1.37467,0.17856,-0.594842,0.0671418,0.0689168,-0.0725683,0.792853,0.249108,-0.00584337,0.815792,0.269295,0.174157,0.204536,-0.133888,-0.266889,0.925411,-0.15428,-0.37112,1.06561,-0.226758,-0.58195,0.806468,-0.140914,0.24756,0.245506,-0.0681921,-0.172426,0.437253,-0.166356,-0.125279,0.94385,-0.0246299,-0.283654,1.40129,-0.15223,0.132225,0.06915,-0.0756,-0.510086,0.888578,-0.109855,-0.497143,0.846931,-0.169774,-0.363735,1.17666,0.0480298
6,0.049954,-0.158689,1.40813,-0.00534149,-0.411823,0.0892643,0.129548,-0.263389,0.953165,0.162355,-0.0977289,1.04271,0.268118,-0.0245793,0.718339,0.2969,-0.342279,0.0600404,0.076291,-0.470792,0.480965,0.161346,-0.12186,0.949237,0.0405145,-0.182502,1.37574,0.180787,-0.582599,0.0662717,0.0686427,-0.0838714,0.79192,0.250036,-0.0168596,0.813302,0.27127,0.167745,0.214201,-0.13181,-0.267601,0.925659,-0.152324,-0.366783,1.06539,-0.225373,-0.570316,0.798058,-0.143776,0.236196,0.260704,-0.0649533,-0.184365,0.435328,-0.167165,-0.126189,0.94344,-0.0225877,-0.282478,1.40226,-0.151122,0.132845,0.0729429,-0.0751014,-0.501653,0.882467,-0.111617,-0.48761,0.842652,-0.172567,-0.365948,1.17803,0.0483041
7,0.0599448,-0.158494,1.4092,-0.00296548,-0.399438,0.0893862,0.129096,-0.264688,0.954026,0.164746,-0.104691,1.04204,0.270258,-0.0389466,0.715897,0.298061,-0.329811,0.0599944,0.0760909,-0.467616,0.478725,0.161482,-0.122987,0.94917,0.0424724,-0.184566,1.37703,0.183129,-0.57023,0.0656803,0.0684772,-0.0960722,0.791171,0.250854,-0.0285704,0.810875,0.273336,0.160057,0.223403,-0.129384,-0.267952,0.926044,-0.150588,-0.361841,1.06506,-0.224166,-0.558026,0.790007,-0.146968,0.223005,0.274764,-0.0612177,-0.196735,0.434091,-0.16777,-0.126526,0.94284,-0.0207183,-0.280856,1.40331,-0.15022,0.130901,0.0745277,-0.0750043,-0.492708,0.876566,-0.113791,-0.477669,0.838726,-0.17574,-0.367788,1.17946,0.0482275
8,0.0699355,-0.158293,1.41065,-0.000499337,-0.387108,0.0893617,0.12844,-0.265718,0.955208,0.166913,-0.112108,1.04149,0.272439,-0.0541504,0.713742,0.299213,-0.316935,0.0602741,0.0760677,-0.46322,0.476783,0.161576,-0.123685,0.949124,0.0441529,-0.186706,1.37861,0.185566,-0.557706,0.0651383,0.0684467,-0.108477,0.790673,0.251487,-0.0409995,0.808583,0.275453,0.151264,0.231815,-0.126729,-0.267823,0.926718,-0.149108,-0.356283,1.06474,-0.223033,-0.545215,0.78245,-0.150606,0.207389,0.286758,-0.0574225,-0.209441,0.433581,-0.168049,-0.126234,0.942252,-0.0190963,-0.278907,1.40451,-0.149515,0.127985,0.0737021,-0.0759567,-0.483244,0.870976,-0.116382,-0.467351,0.835197,-0.179392,-0.369195,1.181,0.0479033
9,0.0799263,-0.15813,1.41249,0.00201728,-0.374685,0.0893313,0.127867,-0.266513,0.956742,0.168767,-0.119952,1.04115,0.274638,-0.0702473,0.711989,0.300363,-0.304073,0.0604718,0.0760125,-0.457811,0.475337,0.161837,-0.123947,0.949402,0.0455401,-0.189056,1.38045,0.188015,-0.545029,0.0647333,0.0684064,-0.121646,0.790396,0.252098,-0.0541585,0.806468,0.27759,0.141174,0.239243,-0.123924,-0.267135,0.927798,-0.147932,-0.350397,1.06465,-0.222143,-0.531774,0.775457,-0.154776,0.189328,0.29634,-0.0535002,-0.222547,0.433749,-0.168065,-0.125716,0.941959,-0.0177609,-0.276716,1.4059,-0.148949,0.1259,0.0731246,-0.0775436,-0.473241,0.865806,-0.119406,-0.456539,0.83208,-0.183415,-0.370109,1.18275,0.0474111
10,0.0899171,-0.157936,1.41467,0.00452775,-0.362115,0.0893552,0.127504,-0.267114,0.958576,0.170316,-0.128186,1.04114,0.276827,-0.0872869,0.71067,0.301439,-0.291312,0.0605202,0.0759562,-0.451495,0.474269,0.162309,-0.12391,0.950305,0.0467682,-0.191683,1.38255,0.190348,-0.532236,0.0644669,0.0684071,-0.13561,0.790472,0.252641,-0.0680282,0.80468,0.279702,0.129899,0.245952,-0.121033,-0.265986,0.929349,-0.146984,-0.344231,1.06491,-0.221492,-0.517708,0.769166,-0.159514,0.171048,0.303875,-0.049146,-0.235877,0.434701,-0.168099,-0.125225,0.942357,-0.0166727,-0.274324,1.40751,-0.148479,0.122452,0.0762387,-0.0786464,-0.462674,0.861121,-0.122852,-0.444895,0.829328,-0.187326,-0.370565,1.18473,0.046817
