Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.200584,1.43586,0.0493672,0.00179184,0.104949,0.153963,-0.289737,0.96565,0.211502,-0.431543,1.09418,0.317688,-0.678487,0.878926,0.261849,0.0777197,0.0804597,0.098121,-0.189745,0.456009,0.190457,-0.15223,0.979113,0.0804436,-0.304609,1.42117,0.208533,-0.160085,0.0631547,0.0964821,-0.605773,0.941832,0.222011,-0.583887,0.902342,0.279745,-0.516647,0.101687,-0.0956168,-0.291391,0.965684,-0.106139,-0.182318,1.07575,-0.226384,-0.188154,0.729733,-0.272528,-0.452551,0.0507926,-0.03239,-0.444895,0.499478,-0.0966293,-0.15036,0.971441,0.0176025,-0.24838,1.41047,-0.134179,-0.681675,0.0988459,-0.0447905,-0.215923,0.822249,-0.211897,-0.157537,0.821648,-0.256214,-0.395094,1.19665,0.0302428
2,0.00999071,-0.201262,1.43528,0.0472111,0.00784747,0.107251,0.154678,-0.290938,0.965049,0.210106,-0.429837,1.09305,0.315676,-0.673364,0.873523,0.260657,0.0850459,0.0845702,0.0987068,-0.189796,0.455661,0.190391,-0.153744,0.978556,0.0784489,-0.305477,1.42104,0.206374,-0.152251,0.0630726,0.0966358,-0.601443,0.937425,0.220876,-0.579441,0.898641,0.279043,-0.5126,0.100298,-0.0957304,-0.293665,0.965583,-0.107581,-0.185685,1.07401,-0.227919,-0.19563,0.728126,-0.273444,-0.446496,0.0521609,-0.0325499,-0.44766,0.49992,-0.0973419,-0.152197,0.97098,0.0155902,-0.249072,1.40957,-0.136332,-0.676719,0.0927669,-0.0434212,-0.22145,0.821014,-0.212191,-0.163743,0.819576,-0.257,-0.396429,1.19651,0.0285677
3,0.0199814,-0.201998,1.43482,0.0449283,0.0136243,0.109874,0.155381,-0.292138,0.964684,0.208544,-0.42803,1.09199,0.313534,-0.667616,0.867773,0.259694,0.091512,0.0885039,0.0992771,-0.190264,0.455394,0.190285,-0.155467,0.978211,0.0761699,-0.306154,1.42102,0.204179,-0.144428,0.063007,0.0967631,-0.596634,0.932445,0.219733,-0.574231,0.894856,0.278188,-0.508193,0.0988133,-0.0960063,-0.296275,0.965662,-0.109101,-0.189302,1.07249,-0.229483,-0.203503,0.726728,-0.274102,-0.440767,0.0534181,-0.0332328,-0.449919,0.500133,-0.0981829,-0.154286,0.970652,0.0132632,-0.249855,1.40887,-0.13853,-0.671691,0.0870132,-0.0424027,-0.228301,0.819864,-0.213053,-0.170298,0.81767,-0.257721,-0.397964,1.19654,0.0269018
4,0.0299721,-0.202781,1.43449,0.0425577,0.0190816,0.112741,0.156046,-0.293424,0.964431,0.206934,-0.426035,1.09105,0.311289,-0.661207,0.861717,0.258967,0.0975943,0.0927526,0.0998032,-0.191277,0.455175,0.190148,-0.157424,0.978049,0.0736245,-0.306698,1.42116,0.201957,-0.136585,0.0628873,0.0968017,-0.591491,0.927498,0.218744,-0.568482,0.890993,0.277545,-0.503358,0.0973717,-0.0963512,-0.29924,0.965973,-0.110621,-0.193175,1.07117,-0.231046,-0.211806,0.725597,-0.274694,-0.434879,0.0546056,-0.0338279,-0.451964,0.500228,-0.0991281,-0.156579,0.970445,0.0106345,-0.25078,1.40837,-0.140795,-0.666654,0.0814047,-0.0418701,-0.235131,0.818981,-0.213619,-0.177168,0.816,-0.258359,-0.399667,1.19675,0.0252203
5,0.0399629,-0.203566,1.43434,0.0401115,0.0241403,0.115973,0.156672,-0.294819,0.964292,0.205311,-0.42375,1.09029,0.30896,-0.654118,0.855404,0.25848,0.103405,0.0974902,0.100255,-0.192991,0.454965,0.190016,-0.159599,0.978025,0.0708684,-0.307198,1.42148,0.199708,-0.128642,0.062705,0.0966272,-0.585889,0.922462,0.2179,-0.562214,0.887084,0.277134,-0.49847,0.0964178,-0.0969883,-0.302352,0.966582,-0.112117,-0.197262,1.06999,-0.232598,-0.220402,0.724698,-0.275119,-0.428718,0.0557072,-0.0341683,-0.454104,0.500448,-0.100174,-0.158973,0.970415,0.00779873,-0.251932,1.40811,-0.143166,-0.661525,0.0762457,-0.0419844,-0.242207,0.818365,-0.214026,-0.184337,0.814582,-0.258922,-0.40149,1.19716,0.0234869
6,0.0499536,-0.204334,1.43436,0.0375687,0.0287038,0.119676,0.157255,-0.296245,0.964338,0.203666,-0.4213,1.08963,0.306565,-0.646311,0.848929,0.258231,0.108753,0.102832,0.100618,-0.195542,0.45474,0.189914,-0.161979,0.978109,0.0679818,-0.307586,1.42196,0.197454,-0.120734,0.0625806,0.0966044,-0.579784,0.917309,0.217184,-0.555338,0.883185,0.276865,-0.493338,0.0959107,-0.0976837,-0.305614,0.96738,-0.113657,-0.201606,1.06902,-0.234187,-0.229262,0.724021,-0.275363,-0.422185,0.0566402,-0.034406,-0.456539,0.500763,-0.101243,-0.161446,0.970603,0.00486017,-0.253362,1.4081,-0.145633,-0.656094,0.0719723,-0.0426153,-0.249438,0.818078,-0.214348,-0.191977,0.813389,-0.259581,-0.403384,1.1978,0.0216826
7,0.0599443,-0.205147,1.43451,0.0349542,0.0327259,0.123744,0.157756,-0.297698,0.964566,0.201915,-0.41864,1.0891,0.304097,-0.637708,0.84236,0.258265,0.113446,0.108899,0.100834,-0.19896,0.454502,0.189899,-0.164424,0.978338,0.0650526,-0.307896,1.42261,0.195226,-0.112846,0.0625683,0.0967312,-0.573152,0.912109,0.216667,-0.547808,0.879335,0.276787,-0.487479,0.0954925,-0.0979523,-0.309485,0.967882,-0.115431,-0.206205,1.06827,-0.235831,-0.238502,0.723578,-0.275512,-0.415364,0.0571898,-0.0345522,-0.459183,0.500904,-0.102364,-0.16426,0.971,0.00188683,-0.254945,1.40818,-0.148062,-0.650284,0.0686965,-0.043229,-0.256973,0.818074,-0.214707,-0.199937,0.8124,-0.260101,-0.405325,1.19867,0.0198268
8,0.069935,-0.205974,1.43482,0.032276,0.0361165,0.128211,0.158132,-0.299243,0.964987,0.199888,-0.41577,1.08871,0.30159,-0.62829,0.835673,0.25862,0.117385,0.115804,0.10086,-0.203322,0.454282,0.190082,-0.166696,0.978803,0.0622023,-0.308055,1.42339,0.193031,-0.105027,0.0625519,0.0967528,-0.566045,0.906954,0.21631,-0.539626,0.875566,0.276844,-0.480908,0.0950548,-0.0976289,-0.313311,0.968544,-0.117193,-0.211051,1.06773,-0.23751,-0.248157,0.72337,-0.275608,-0.408105,0.0574138,-0.0346162,-0.461868,0.500926,-0.103579,-0.166891,0.971613,-0.00106912,-0.256569,1.40841,-0.15047,-0.644092,0.0663608,-0.0432494,-0.264897,0.81832,-0.215006,-0.208142,0.811609,-0.260451,-0.407284,1.19972,0.0179403
9,0.0799257,-0.206799,1.43531,0.029554,0.0387586,0.133091,0.158431,-0.300919,0.965631,0.197545,-0.412697,1.08848,0.29907,-0.618186,0.828989,0.259259,0.120352,0.12353,0.100703,-0.208718,0.454086,0.190587,-0.168812,0.979416,0.0594042,-0.308047,1.42427,0.190883,-0.0971723,0.0623508,0.0966467,-0.558477,0.901871,0.216069,-0.530878,0.871853,0.276602,-0.473797,0.0946681,-0.0968973,-0.316849,0.969441,-0.118859,-0.216141,1.06739,-0.239235,-0.258031,0.723424,-0.275561,-0.400498,0.0575672,-0.0345174,-0.464234,0.500995,-0.104683,-0.169466,0.972393,-0.00394503,-0.258294,1.40884,-0.152876,-0.637247,0.064779,-0.0425233,-0.273129,0.818841,-0.215223,-0.216578,0.811045,-0.260695,-0.409214,1.2009,0.0160607
10,0.0899164,-0.207604,1.43597,0.026774,0.0404699,0.138342,0.158712,-0.302514,0.966475,0.195246,-0.409404,1.08835,0.296511,-0.607385,0.822409,0.260143,0.122172,0.132153,0.100426,-0.215203,0.453916,0.191583,-0.171294,0.979968,0.0566167,-0.307996,1.42533,0.188778,-0.0895417,0.0619261,0.0966779,-0.55045,0.896897,0.215945,-0.521506,0.868303,0.276307,-0.466579,0.0945486,-0.0962899,-0.320009,0.970498,-0.120528,-0.221515,1.06726,-0.240988,-0.268099,0.723745,-0.27536,-0.39295,0.0576122,-0.0343927,-0.465959,0.501146,-0.105581,-0.17164,0.973268,-0.00674634,-0.260325,1.40951,-0.155366,-0.630122,0.0637293,-0.0419279,-0.281599,0.819626,-0.215368,-0.225417,0.810837,-0.261155,-0.411076,1.20222,0.0142462
