Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.0880124,1.43839,-0.0271694,-0.328745,0.0902879,0.109763,-0.201216,0.979053,0.152071,-0.0839905,1.05386,0.237997,-0.113794,0.722202,0.2442,-0.260212,0.0596136,0.0539066,-0.344219,0.482215,0.135294,-0.0592749,0.978949,0.0275035,-0.126269,1.40663,0.157865,-0.498984,0.0683653,0.0523253,-0.140525,0.812527,0.199783,-0.0700972,0.80865,0.224638,0.16817,0.161803,-0.128939,-0.266233,1.07651,-0.260888,-0.423347,0.768334,-0.222794,0.254234,0.173223,-0.0618131,-0.119994,0.468326,-0.164546,-0.0627537,0.973922,-0.036323,-0.198227,1.41768,-0.182717,0.0759755,0.0572685,-0.0550572,-0.371657,0.858372,-0.17707,-0.356302,0.836088,-0.245583,-0.282091,1.1967,0.0142996
2,0.00999102,-0.088357,1.43914,-0.0246535,-0.321409,0.0903486,0.109424,-0.202778,0.980284,0.15394,-0.0906697,1.05435,0.241498,-0.122261,0.722741,0.248484,-0.252655,0.0595713,0.0539562,-0.34345,0.481807,0.136054,-0.0602397,0.979271,0.0291488,-0.128528,1.40767,0.160173,-0.491626,0.0678319,0.0522289,-0.147978,0.813238,0.203324,-0.078317,0.80923,0.228838,0.166237,0.168196,-0.129504,-0.261107,1.07688,-0.259883,-0.413579,0.765954,-0.226169,0.251365,0.184741,-0.0631938,-0.129485,0.467056,-0.165944,-0.0637559,0.973932,-0.0348377,-0.197535,1.41889,-0.181011,0.0806034,0.058594,-0.0554623,-0.364801,0.8568,-0.178898,-0.347219,0.834818,-0.246914,-0.283793,1.19802,0.0151512
3,0.019982,-0.0886643,1.43995,-0.0221525,-0.313711,0.0904492,0.109303,-0.204216,0.981403,0.155743,-0.0975823,1.05503,0.245016,-0.131157,0.723649,0.252669,-0.244935,0.0596145,0.0538762,-0.341739,0.481222,0.136865,-0.0618156,0.979446,0.0307128,-0.130772,1.40878,0.162394,-0.484,0.0674759,0.0521345,-0.155709,0.81412,0.206856,-0.086536,0.80984,0.233501,0.163446,0.17498,-0.130238,-0.255864,1.07737,-0.258958,-0.403601,0.763731,-0.229422,0.247423,0.196823,-0.0643994,-0.139537,0.465789,-0.1669,-0.0645958,0.973923,-0.0332642,-0.196714,1.4201,-0.17936,0.0845474,0.0605639,-0.0561145,-0.357835,0.855491,-0.180885,-0.337745,0.833767,-0.248069,-0.285325,1.19929,0.0158928
4,0.0299731,-0.0890349,1.44078,-0.0196501,-0.305767,0.0905165,0.109292,-0.205571,0.982392,0.1575,-0.104516,1.05586,0.248759,-0.140291,0.724875,0.25692,-0.237071,0.0596986,0.0537871,-0.339035,0.480549,0.137725,-0.0629731,0.979591,0.0324219,-0.132904,1.40989,0.164538,-0.476191,0.0672578,0.0520711,-0.163677,0.815179,0.210301,-0.0949501,0.810566,0.238332,0.159954,0.182148,-0.131009,-0.250548,1.07795,-0.258109,-0.393417,0.761675,-0.232575,0.242489,0.20945,-0.0656259,-0.150011,0.464618,-0.16744,-0.0653144,0.973937,-0.0316205,-0.195753,1.4213,-0.177759,0.0876339,0.0632242,-0.0569399,-0.350678,0.854417,-0.183045,-0.327953,0.833007,-0.249071,-0.286674,1.20053,0.0165552
5,0.0399641,-0.0894579,1.44162,-0.0170998,-0.29807,0.090487,0.108772,-0.206868,0.98324,0.159201,-0.111621,1.05681,0.252367,-0.149949,0.72626,0.260987,-0.229103,0.0597951,0.0537494,-0.335477,0.479895,0.13858,-0.0638031,0.979915,0.0342544,-0.134999,1.41099,0.166582,-0.468324,0.0671611,0.0520076,-0.171857,0.816419,0.213618,-0.103839,0.811542,0.242934,0.155841,0.189792,-0.131616,-0.245171,1.07862,-0.257343,-0.383098,0.759784,-0.235575,0.23662,0.222533,-0.0667708,-0.16072,0.46373,-0.167694,-0.0658674,0.973984,-0.0299163,-0.194614,1.42249,-0.176196,0.0893805,0.0666342,-0.0576019,-0.343441,0.853463,-0.185189,-0.318475,0.832403,-0.250273,-0.287825,1.20177,0.017151
6,0.0499551,-0.0895857,1.44272,-0.0145414,-0.290241,0.0905059,0.108397,-0.20807,0.983978,0.160812,-0.118834,1.0579,0.255806,-0.160078,0.727751,0.265169,-0.221107,0.0598517,0.0537083,-0.331268,0.479366,0.139376,-0.0643785,0.980465,0.0361546,-0.137217,1.41223,0.168647,-0.460399,0.0671052,0.0519612,-0.180273,0.817805,0.216831,-0.112986,0.812612,0.247546,0.151203,0.198002,-0.131904,-0.239725,1.07938,-0.256653,-0.372748,0.758094,-0.238415,0.22961,0.235796,-0.0676631,-0.171614,0.463233,-0.167653,-0.0661633,0.974176,-0.0281448,-0.193293,1.42367,-0.174686,0.0898987,0.0705484,-0.0584163,-0.336152,0.852619,-0.187345,-0.309248,0.83194,-0.251614,-0.288726,1.20301,0.0176773
7,0.0599461,-0.0897601,1.4438,-0.0119731,-0.282289,0.0905511,0.108236,-0.209155,0.984675,0.162263,-0.12612,1.05908,0.259142,-0.170656,0.729283,0.269588,-0.213079,0.0598819,0.0536759,-0.326614,0.479016,0.140132,-0.0647928,0.981215,0.0380524,-0.139449,1.41351,0.17066,-0.452358,0.0669435,0.0520038,-0.189054,0.819351,0.22001,-0.122547,0.813893,0.251954,0.146094,0.206302,-0.131885,-0.234245,1.08019,-0.256036,-0.362402,0.756625,-0.24111,0.220975,0.24877,-0.0682201,-0.182558,0.463116,-0.167213,-0.0662046,0.974623,-0.0263056,-0.191785,1.42484,-0.173235,0.0888294,0.0745138,-0.0596211,-0.328758,0.851881,-0.189355,-0.300088,0.831652,-0.252938,-0.289277,1.20422,0.0181239
8,0.0699372,-0.089995,1.44487,-0.00941547,-0.27435,0.0905771,0.108119,-0.210154,0.985409,0.163519,-0.133407,1.06037,0.262396,-0.181391,0.731095,0.27378,-0.205097,0.0598851,0.0536458,-0.321823,0.478731,0.140868,-0.0650374,0.98216,0.0399116,-0.141705,1.41482,0.172611,-0.44429,0.0668247,0.0520233,-0.198269,0.821068,0.223202,-0.132299,0.815243,0.256333,0.140623,0.214287,-0.131532,-0.228742,1.08107,-0.255504,-0.352087,0.755376,-0.243665,0.210223,0.261496,-0.0688323,-0.193406,0.463508,-0.166671,-0.0660215,0.975365,-0.0244725,-0.190085,1.42601,-0.171864,0.085843,0.077226,-0.0613104,-0.321285,0.851253,-0.191251,-0.290962,0.83156,-0.254187,-0.289515,1.2054,0.0185037
9,0.0799282,-0.0900338,1.44607,-0.00689321,-0.266435,0.0905921,0.108068,-0.211061,0.986248,0.16457,-0.140559,1.0617,0.265735,-0.19228,0.733215,0.277655,-0.197202,0.0599146,0.0536414,-0.317052,0.478385,0.141501,-0.0651397,0.983293,0.0416624,-0.14404,1.41622,0.174535,-0.436246,0.0667544,0.0520296,-0.207453,0.822961,0.226142,-0.1422,0.816668,0.260651,0.134619,0.221613,-0.130962,-0.223191,1.08201,-0.255026,-0.34186,0.754383,-0.246098,0.198151,0.273256,-0.0692187,-0.204062,0.464433,-0.166158,-0.0656213,0.97634,-0.0227451,-0.188195,1.42719,-0.170593,0.0816252,0.0780274,-0.0633089,-0.313717,0.850752,-0.193077,-0.281929,0.831684,-0.255459,-0.289818,1.20654,0.0188172
10,0.0899192,-0.090055,1.44729,-0.00441409,-0.258382,0.0906566,0.10818,-0.211655,0.987204,0.165433,-0.147748,1.06311,0.268931,-0.203798,0.735428,0.281603,-0.189333,0.059984,0.0536545,-0.312268,0.478071,0.141935,-0.0651518,0.984588,0.0432066,-0.146269,1.41758,0.17633,-0.428215,0.0667086,0.0520147,-0.2165,0.824996,0.228855,-0.152301,0.818157,0.264865,0.127925,0.228009,-0.130386,-0.217593,1.08301,-0.254595,-0.331772,0.753636,-0.248393,0.186831,0.282703,-0.0684176,-0.214467,0.465849,-0.165649,-0.0650085,0.977483,-0.0211568,-0.186151,1.42836,-0.169409,0.0775621,0.0777889,-0.0652339,-0.306075,0.850353,-0.194822,-0.272965,0.831958,-0.256702,-0.28968,1.20766,0.0190261
