Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.192457,1.4673,0.0318943,-0.188902,0.0952275,0.223758,-0.28266,0.99185,0.194691,-0.198375,1.13743,0.359935,-0.183486,0.81529,0.446429,-0.120149,0.0615463,0.166099,-0.268189,0.47857,0.219042,-0.138831,1.0149,0.0743103,-0.266187,1.44715,0.207087,-0.360418,0.0643848,0.183994,-0.20977,0.886546,0.374545,-0.147625,0.901161,0.412972,-0.183943,0.10019,-0.167919,-0.270106,0.984839,-0.122479,-0.177435,1.14009,-0.274586,-0.13515,0.807995,-0.377273,-0.118626,0.0600476,-0.0983392,-0.253965,0.500045,-0.147245,-0.134313,1.00748,0.0108771,-0.263238,1.4452,-0.146417,-0.349072,0.0624896,-0.153156,-0.173344,0.884574,-0.299769,-0.114879,0.898522,-0.341764,-0.391461,1.22502,0.0358176
2,0.00997519,-0.192108,1.46726,0.0310132,-0.18894,0.0952598,0.223725,-0.281995,0.991857,0.194499,-0.19877,1.13659,0.358814,-0.188181,0.81406,0.443901,-0.120156,0.0615834,0.166083,-0.268792,0.47863,0.218987,-0.138347,1.01464,0.0738177,-0.26521,1.44719,0.20649,-0.360433,0.0643745,0.183987,-0.213499,0.885974,0.372339,-0.151155,0.899634,0.410001,-0.183929,0.100142,-0.168033,-0.270157,0.984817,-0.122823,-0.178392,1.13899,-0.274349,-0.13978,0.805843,-0.375073,-0.118676,0.0600706,-0.0983758,-0.253504,0.500055,-0.147142,-0.133609,1.0071,0.0105501,-0.263454,1.44492,-0.147017,-0.349131,0.0624188,-0.153167,-0.176607,0.883236,-0.297518,-0.11841,0.89637,-0.33989,-0.390193,1.22502,0.0357343
3,0.0199504,-0.191665,1.4672,0.0301546,-0.188971,0.0952964,0.223704,-0.281395,0.991903,0.194272,-0.199064,1.136,0.357837,-0.193685,0.81296,0.441397,-0.120171,0.0616206,0.16608,-0.269296,0.478696,0.218926,-0.137902,1.01448,0.0733405,-0.264205,1.4472,0.205936,-0.360455,0.0643776,0.183973,-0.217537,0.885329,0.369754,-0.154727,0.898333,0.406949,-0.183917,0.100036,-0.168156,-0.270119,0.984882,-0.123156,-0.179627,1.13776,-0.274039,-0.144742,0.803499,-0.371968,-0.118703,0.0600873,-0.0983771,-0.25295,0.500103,-0.147079,-0.133256,1.00698,0.0100975,-0.263508,1.44462,-0.147552,-0.349168,0.0623639,-0.153195,-0.180326,0.881745,-0.294792,-0.122403,0.893975,-0.33791,-0.389457,1.22499,0.0356824
4,0.0299256,-0.191165,1.46713,0.0293452,-0.189003,0.0953327,0.223696,-0.280877,0.991971,0.194023,-0.199502,1.13526,0.356686,-0.199502,0.811766,0.438315,-0.120201,0.0616402,0.166076,-0.269683,0.478755,0.218853,-0.137525,1.0144,0.0729044,-0.263192,1.44719,0.205422,-0.360475,0.0643777,0.18396,-0.221896,0.884665,0.366793,-0.158936,0.896257,0.404648,-0.183911,0.100017,-0.168172,-0.269875,0.985107,-0.123344,-0.181121,1.13643,-0.273646,-0.150412,0.800824,-0.368521,-0.118725,0.0600937,-0.0983829,-0.252332,0.500174,-0.147059,-0.13306,1.00698,0.00962321,-0.263634,1.44437,-0.148165,-0.349176,0.0623165,-0.153237,-0.184453,0.880263,-0.291902,-0.126821,0.891462,-0.335753,-0.388952,1.22498,0.0357182
5,0.0399007,-0.190659,1.46708,0.028612,-0.189031,0.0953701,0.223694,-0.280424,0.992013,0.193782,-0.20012,1.13433,0.355368,-0.205818,0.810445,0.434844,-0.120226,0.061662,0.166078,-0.269944,0.478809,0.21877,-0.137194,1.0144,0.072524,-0.262174,1.44721,0.204945,-0.360492,0.0643765,0.183952,-0.226524,0.884008,0.363471,-0.163039,0.894751,0.401511,-0.183861,0.0999372,-0.168298,-0.269457,0.985519,-0.123436,-0.182873,1.135,-0.273191,-0.156644,0.798069,-0.365168,-0.11874,0.060094,-0.09837,-0.2517,0.500244,-0.147071,-0.132987,1.00707,0.00914229,-0.26383,1.44416,-0.148849,-0.349178,0.0622836,-0.153267,-0.188922,0.878769,-0.288867,-0.131678,0.888833,-0.333418,-0.388518,1.22502,0.0358602
6,0.0498759,-0.190105,1.46704,0.027911,-0.189049,0.0954014,0.223692,-0.279995,0.992048,0.193556,-0.200851,1.13332,0.353984,-0.212601,0.809085,0.430972,-0.120248,0.0616896,0.16608,-0.270056,0.478857,0.218671,-0.136871,1.01445,0.0721684,-0.261226,1.44724,0.204495,-0.3605,0.0643666,0.183947,-0.231395,0.883371,0.359813,-0.167991,0.893185,0.397916,-0.183808,0.0998793,-0.168391,-0.268959,0.986002,-0.12348,-0.184896,1.13344,-0.27266,-0.163326,0.795293,-0.361468,-0.118741,0.0600916,-0.0983465,-0.25109,0.500299,-0.147162,-0.133032,1.00726,0.00865739,-0.26386,1.44389,-0.149474,-0.349176,0.0622727,-0.153287,-0.193687,0.877219,-0.285656,-0.136985,0.8861,-0.330884,-0.388119,1.2251,0.0360723
7,0.0598511,-0.18951,1.46698,0.0272743,-0.189052,0.0954174,0.223698,-0.279609,0.992094,0.193338,-0.20169,1.13227,0.352529,-0.219788,0.80773,0.426668,-0.120246,0.0617072,0.166084,-0.269975,0.478881,0.218517,-0.136542,1.0145,0.0718097,-0.260394,1.4473,0.2041,-0.360496,0.0643644,0.183948,-0.236439,0.882839,0.355927,-0.173549,0.890985,0.394697,-0.183746,0.0998206,-0.168411,-0.268458,0.986456,-0.123512,-0.187173,1.1318,-0.272047,-0.170628,0.79252,-0.357268,-0.11873,0.0600762,-0.0983332,-0.250529,0.500357,-0.147347,-0.132816,1.00736,0.00829322,-0.263669,1.44358,-0.15002,-0.349155,0.0622718,-0.153305,-0.198819,0.875628,-0.282001,-0.142663,0.883296,-0.328163,-0.387776,1.22521,0.0362978
8,0.0698263,-0.188869,1.46692,0.0266786,-0.189044,0.095417,0.223711,-0.279298,0.992154,0.193144,-0.202661,1.1312,0.351048,-0.227355,0.806432,0.42194,-0.120236,0.0617015,0.16609,-0.269746,0.478869,0.218287,-0.136209,1.01455,0.0714566,-0.259653,1.44739,0.20376,-0.36049,0.0643737,0.183939,-0.241642,0.882435,0.351773,-0.179454,0.888692,0.391078,-0.183635,0.0996874,-0.168384,-0.268008,0.986819,-0.123559,-0.189694,1.13009,-0.271348,-0.178367,0.789647,-0.352579,-0.118738,0.0600643,-0.0983345,-0.25002,0.500367,-0.147431,-0.132385,1.00739,0.00800499,-0.263278,1.44326,-0.150525,-0.349138,0.0622828,-0.153327,-0.204343,0.874022,-0.277868,-0.148657,0.88045,-0.325269,-0.387464,1.22534,0.0364944
9,0.0798015,-0.188153,1.46682,0.0261266,-0.189027,0.0954124,0.223719,-0.278987,0.992236,0.192917,-0.203736,1.13013,0.349579,-0.235274,0.805254,0.416788,-0.12023,0.0616873,0.166096,-0.269468,0.478886,0.218111,-0.13583,1.01456,0.0711185,-0.258992,1.44751,0.20344,-0.360477,0.0643904,0.183924,-0.247009,0.882142,0.347208,-0.185523,0.886395,0.387329,-0.183494,0.099534,-0.168313,-0.26765,0.987041,-0.123642,-0.192396,1.12835,-0.270534,-0.186487,0.786746,-0.347502,-0.118754,0.060034,-0.0983305,-0.249592,0.500351,-0.147463,-0.132161,1.00747,0.0076503,-0.262874,1.443,-0.151066,-0.349123,0.0622845,-0.153349,-0.210256,0.872445,-0.273437,-0.155192,0.877539,-0.322105,-0.387133,1.2255,0.0366349
10,0.0897767,-0.187411,1.46672,0.0256245,-0.189006,0.0953952,0.223721,-0.278522,0.992332,0.192676,-0.20486,1.12907,0.348153,-0.243489,0.804254,0.411153,-0.120219,0.0616803,0.166104,-0.269175,0.478904,0.21798,-0.135395,1.01455,0.0708266,-0.258414,1.44764,0.203107,-0.360459,0.0644044,0.183918,-0.252489,0.882021,0.342301,-0.191427,0.884618,0.383093,-0.183486,0.0996135,-0.168308,-0.267416,0.987084,-0.123777,-0.195199,1.12657,-0.269613,-0.194983,0.783946,-0.342139,-0.118745,0.0600223,-0.0983213,-0.249296,0.500314,-0.147518,-0.131903,1.00751,0.00733505,-0.262458,1.44278,-0.151619,-0.349098,0.0622749,-0.153362,-0.216371,0.870995,-0.268948,-0.16219,0.87471,-0.31875,-0.386756,1.2257,0.0366758
