Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
219,2.17552,-0.214958,0.884179,0.00566087,-0.216713,0.0956192,0.220923,-0.097117,0.471996,0.181956,-0.53358,0.612681,0.270263,-0.612639,0.780651,0.0525819,-0.145741,0.0624236,0.164484,-0.434932,0.414514,0.290953,0.0236633,0.485173,0.0588557,-0.308294,0.861247,0.179409,-0.383079,0.068432,0.18873,-0.580623,0.693426,0.0461211,-0.649205,0.698945,0.0725253,-0.20988,0.0996109,-0.192505,-0.494377,0.598778,-0.268287,-0.618646,0.784283,-0.0686539,-0.151093,0.0584743,-0.113956,-0.397446,0.424284,-0.281234,0.0237082,0.481475,0.00494705,-0.316287,0.850229,-0.159275,-0.372384,0.0642116,-0.190508,-0.571171,0.696233,-0.0591945,-0.640004,0.695035,-0.0842303,-0.358173,0.612003,0.0184854
220,2.1855,-0.215118,0.884095,0.00596161,-0.216736,0.0956185,0.220927,-0.0971448,0.471871,0.18213,-0.533684,0.61238,0.270218,-0.612688,0.780242,0.0524555,-0.145733,0.0624439,0.164503,-0.435025,0.41444,0.290996,0.0236267,0.48506,0.0591709,-0.308463,0.861164,0.179667,-0.383096,0.0684217,0.18873,-0.580576,0.69295,0.0458956,-0.64916,0.698468,0.0722989,-0.20984,0.0996399,-0.192491,-0.493919,0.598687,-0.268509,-0.618408,0.783807,-0.0687191,-0.15107,0.0584759,-0.113948,-0.397513,0.424357,-0.280934,0.0237014,0.481411,0.00524043,-0.316175,0.850293,-0.159057,-0.37235,0.0642392,-0.190518,-0.571038,0.695828,-0.0593966,-0.639862,0.69464,-0.084451,-0.358184,0.612041,0.0185834
221,2.19548,-0.215168,0.884111,0.00626104,-0.216748,0.0956147,0.220941,-0.0972042,0.471838,0.182376,-0.533778,0.612124,0.270171,-0.612723,0.779881,0.0523366,-0.145734,0.0624459,0.164506,-0.435083,0.41436,0.291109,0.0235925,0.485025,0.0593992,-0.308632,0.861137,0.179918,-0.383109,0.0684154,0.188734,-0.580506,0.692533,0.0456631,-0.649093,0.698051,0.0720655,-0.209827,0.0996645,-0.192449,-0.493484,0.598659,-0.268711,-0.618275,0.783435,-0.0688354,-0.151065,0.0584613,-0.113949,-0.397598,0.424452,-0.280574,0.0237011,0.481412,0.00546683,-0.316108,0.850399,-0.158827,-0.372338,0.0642535,-0.190508,-0.570906,0.695464,-0.0595805,-0.639722,0.694287,-0.0846535,-0.358178,0.612139,0.0186947
222,2.20546,-0.215131,0.884206,0.00656387,-0.216746,0.0956061,0.220955,-0.0973057,0.471896,0.182716,-0.533848,0.611931,0.270133,-0.612762,0.779561,0.0522293,-0.145736,0.0624397,0.164492,-0.435057,0.414283,0.291318,0.0235571,0.485075,0.0595515,-0.308777,0.861164,0.180161,-0.383096,0.0684107,0.18875,-0.580474,0.692176,0.0455,-0.649063,0.697692,0.0719016,-0.209834,0.0996929,-0.19239,-0.493093,0.598686,-0.268876,-0.618216,0.783162,-0.0690263,-0.151085,0.0584355,-0.113944,-0.397694,0.424563,-0.280178,0.023696,0.481471,0.00564054,-0.316064,0.85054,-0.158608,-0.372343,0.0642534,-0.190477,-0.570763,0.695138,-0.0597419,-0.63957,0.693971,-0.0848334,-0.358165,0.612268,0.0188002
223,2.21544,-0.21505,0.884387,0.00686591,-0.216727,0.0955905,0.220972,-0.0973367,0.471952,0.182838,-0.533893,0.611823,0.270104,-0.612769,0.779282,0.0521156,-0.145737,0.062419,0.164491,-0.435051,0.414225,0.291672,0.023538,0.485198,0.0596454,-0.308883,0.861238,0.180395,-0.383079,0.0684346,0.188784,-0.580477,0.691896,0.0453898,-0.649069,0.697412,0.0717905,-0.209842,0.0997287,-0.192326,-0.492763,0.598777,-0.269006,-0.618174,0.782966,-0.0692569,-0.151124,0.0583963,-0.113923,-0.397852,0.424669,-0.279777,0.0236991,0.481588,0.00577107,-0.316018,0.850715,-0.158386,-0.372353,0.0642605,-0.190432,-0.570601,0.694856,-0.0598637,-0.6394,0.6937,-0.0849738,-0.358113,0.612415,0.0189094
224,2.22542,-0.214936,0.884652,0.00717694,-0.216716,0.0955917,0.221002,-0.097318,0.472114,0.182734,-0.533912,0.611793,0.270088,-0.612765,0.779071,0.052003,-0.14573,0.0624129,0.164498,-0.435133,0.414174,0.292178,0.0235461,0.485391,0.0597076,-0.30897,0.861361,0.180619,-0.383073,0.0684675,0.188818,-0.580434,0.691708,0.0452514,-0.649029,0.697223,0.0716511,-0.209832,0.099763,-0.192271,-0.492452,0.598941,-0.269098,-0.618105,0.782818,-0.0693453,-0.151099,0.0584337,-0.113894,-0.398088,0.424761,-0.279436,0.0236975,0.48176,0.00587766,-0.315973,0.850926,-0.158156,-0.372356,0.0642718,-0.190392,-0.57049,0.694683,-0.0599505,-0.639281,0.693537,-0.0850791,-0.35804,0.612596,0.0190315
225,2.2354,-0.214922,0.884892,0.00747654,-0.216712,0.0955932,0.221051,-0.0973303,0.472464,0.182746,-0.533929,0.611843,0.270091,-0.612768,0.778939,0.0519265,-0.145711,0.0624204,0.164521,-0.435081,0.414145,0.292646,0.0235908,0.485615,0.0597686,-0.309043,0.86153,0.180831,-0.383069,0.0684973,0.188859,-0.580413,0.691606,0.0451408,-0.64901,0.69712,0.0715397,-0.209824,0.0998092,-0.192231,-0.492171,0.59921,-0.26924,-0.618022,0.782708,-0.0693001,-0.150946,0.0585931,-0.113868,-0.398306,0.424833,-0.279062,0.0237054,0.481987,0.00596094,-0.315929,0.851179,-0.157931,-0.37236,0.0642884,-0.190363,-0.570427,0.694609,-0.0600236,-0.639209,0.693473,-0.0851708,-0.357943,0.612832,0.0191817
226,2.24538,-0.214965,0.885132,0.00775426,-0.216694,0.0955776,0.221098,-0.09719,0.472416,0.182928,-0.533964,0.611968,0.270117,-0.612775,0.778903,0.0518846,-0.1457,0.0624118,0.164543,-0.434843,0.414141,0.293087,0.0236717,0.485873,0.0598314,-0.309123,0.861727,0.181032,-0.38304,0.0685418,0.188924,-0.58038,0.691566,0.0450324,-0.648979,0.697079,0.0714304,-0.209824,0.0998481,-0.192197,-0.49197,0.599538,-0.269371,-0.617966,0.782696,-0.0692971,-0.150883,0.0586217,-0.11385,-0.398446,0.424917,-0.278503,0.0237234,0.482254,0.00601802,-0.315885,0.851455,-0.157714,-0.372361,0.0643137,-0.190333,-0.570382,0.694618,-0.0600793,-0.639155,0.693493,-0.085245,-0.357855,0.613088,0.0193403
227,2.25536,-0.215013,0.885377,0.00799746,-0.216659,0.0955462,0.221136,-0.0970946,0.472556,0.183244,-0.534032,0.612152,0.270165,-0.612779,0.778964,0.0518726,-0.145685,0.062384,0.164548,-0.434418,0.41419,0.293493,0.0237577,0.48615,0.0598617,-0.309206,0.86193,0.181209,-0.382998,0.0686168,0.189002,-0.580404,0.691603,0.0450025,-0.649006,0.697115,0.0713996,-0.209822,0.0998688,-0.192168,-0.491851,0.599894,-0.269476,-0.617924,0.782776,-0.0693599,-0.150913,0.0585285,-0.113798,-0.398552,0.425041,-0.277801,0.0237617,0.482545,0.00606238,-0.315856,0.851745,-0.157509,-0.37237,0.0643476,-0.190298,-0.570344,0.694704,-0.0601155,-0.639109,0.69359,-0.0852998,-0.357797,0.613341,0.0195131
228,2.26534,-0.21504,0.88561,0.00819597,-0.216624,0.0955262,0.221183,-0.0969813,0.472768,0.183403,-0.53412,0.61237,0.27022,-0.612763,0.779117,0.0518841,-0.145666,0.0623851,0.164552,-0.433877,0.414297,0.293815,0.0238406,0.486427,0.0598769,-0.309292,0.862153,0.181371,-0.382978,0.0687123,0.189082,-0.58039,0.691725,0.0449843,-0.648994,0.697236,0.0713804,-0.209812,0.0998842,-0.192137,-0.491786,0.600282,-0.269555,-0.617879,0.782943,-0.0694402,-0.150902,0.0585139,-0.113773,-0.398756,0.425137,-0.277259,0.0238147,0.482845,0.00608283,-0.315828,0.852026,-0.157317,-0.372379,0.0643746,-0.190256,-0.57035,0.694895,-0.0601322,-0.639106,0.693791,-0.085335,-0.357762,0.613568,0.0196995
229,2.27532,-0.215067,0.885818,0.00836585,-0.216592,0.0955318,0.221242,-0.0968157,0.472916,0.183367,-0.534201,0.612606,0.270288,-0.612719,0.779359,0.0519078,-0.145665,0.0623795,0.164556,-0.433563,0.41437,0.294236,0.0239016,0.486692,0.0598921,-0.309371,0.862391,0.181519,-0.382957,0.0688073,0.189149,-0.580323,0.691934,0.0449609,-0.648929,0.697444,0.0713562,-0.209814,0.0999082,-0.192098,-0.491774,0.600688,-0.269629,-0.617814,0.783171,-0.0694259,-0.150851,0.058549,-0.113773,-0.39902,0.425204,-0.276802,0.023882,0.483132,0.00607636,-0.315804,0.85229,-0.157143,-0.372395,0.06439,-0.190213,-0.57041,0.695204,-0.0601306,-0.639158,0.69411,-0.085352,-0.357717,0.613793,0.019895
