Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.0418263,1.46364,0.00139102,-0.0560734,0.0943816,0.18351,-0.157177,0.996965,0.163174,-0.0467679,1.439,0.438345,-0.0562182,1.44922,0.726768,0.0209516,0.0617018,0.137273,-0.122821,0.480129,0.172895,-0.0220902,1.01787,0.0346369,-0.0786645,1.49339,0.119511,-0.218373,0.0651351,0.116261,-0.110491,1.39116,0.682718,-0.0375467,1.38625,0.676022,-0.038051,0.100433,-0.158358,-0.157085,0.990155,-0.151841,-0.0777852,1.45979,-0.425145,-0.0970551,1.51544,-0.715627,0.0204455,0.0609429,-0.0777072,-0.108031,0.495827,-0.151786,-0.0211556,1.01462,-0.0262268,-0.0853252,1.49031,-0.121179,-0.204965,0.0621185,-0.156067,-0.141202,1.43356,-0.679956,-0.0685057,1.44592,-0.678604,-0.276909,1.26776,0.0108973
2,0.00999069,-0.0417396,1.46358,0.00140309,-0.0560607,0.094371,0.183525,-0.157261,0.996982,0.163205,-0.0468586,1.43895,0.438381,-0.0565023,1.44916,0.726807,0.0209465,0.0617495,0.137271,-0.122597,0.480044,0.17262,-0.0221189,1.01787,0.0347081,-0.0785362,1.49335,0.119523,-0.218372,0.0651448,0.116257,-0.110729,1.39109,0.682695,-0.0378182,1.38616,0.676062,-0.0380637,0.100441,-0.158326,-0.157039,0.990126,-0.15181,-0.0777901,1.45991,-0.42512,-0.0971493,1.51579,-0.7156,0.0204622,0.0609509,-0.0777039,-0.108017,0.495791,-0.151756,-0.0211575,1.01461,-0.0261307,-0.0852127,1.49031,-0.12113,-0.204966,0.0620866,-0.156059,-0.14139,1.43399,-0.67989,-0.0687063,1.44614,-0.678549,-0.277564,1.2678,0.0109066
3,0.0199814,-0.0416532,1.46352,0.00142058,-0.0560588,0.0943646,0.183527,-0.157331,0.996985,0.163231,-0.0469542,1.43888,0.438414,-0.0567661,1.44907,0.726865,0.0209483,0.0618332,0.137234,-0.122569,0.480018,0.17258,-0.0221539,1.01786,0.0347922,-0.0784533,1.4933,0.119527,-0.218372,0.0651354,0.11626,-0.110986,1.39103,0.682679,-0.0380823,1.38608,0.676107,-0.0380587,0.100434,-0.158293,-0.156974,0.990099,-0.151784,-0.0777923,1.46003,-0.425105,-0.0972548,1.51608,-0.715583,0.0204633,0.0609483,-0.0776905,-0.107999,0.49577,-0.151737,-0.0211639,1.01461,-0.026039,-0.0850952,1.49032,-0.121083,-0.204962,0.062091,-0.156049,-0.141577,1.43432,-0.679833,-0.0688166,1.44634,-0.67844,-0.27766,1.26785,0.0108845
4,0.0299721,-0.041564,1.46346,0.00144879,-0.0560614,0.0943561,0.183527,-0.1574,0.996971,0.163253,-0.0470525,1.43878,0.438451,-0.0570358,1.44897,0.726935,0.0209363,0.0617907,0.137185,-0.122619,0.480016,0.172624,-0.0221762,1.01784,0.034888,-0.0784818,1.4932,0.11951,-0.218373,0.0651288,0.116257,-0.111262,1.39096,0.682666,-0.0383442,1.38601,0.676153,-0.0380482,0.10042,-0.158278,-0.156909,0.990069,-0.151754,-0.0777952,1.46013,-0.425086,-0.0973627,1.51631,-0.715568,0.020459,0.0609408,-0.0776783,-0.107993,0.495754,-0.151719,-0.0211667,1.0146,-0.0259543,-0.0849629,1.49033,-0.121034,-0.204956,0.0620899,-0.156041,-0.141733,1.43457,-0.679793,-0.0689769,1.44664,-0.678473,-0.277583,1.26789,0.0108438
5,0.0399628,-0.0414594,1.4634,0.00147362,-0.0560581,0.0943599,0.183533,-0.157463,0.996967,0.163282,-0.0471554,1.43866,0.438496,-0.0573158,1.44887,0.726994,0.0209295,0.0617318,0.137215,-0.122666,0.480013,0.172661,-0.0221799,1.01784,0.0349753,-0.0786466,1.49303,0.119448,-0.218377,0.0651334,0.116254,-0.111553,1.39087,0.68265,-0.0385996,1.38591,0.676198,-0.0380526,0.10041,-0.158268,-0.15685,0.990044,-0.151731,-0.0777896,1.46024,-0.425054,-0.0975044,1.51648,-0.715551,0.0204519,0.060941,-0.0776706,-0.10799,0.495734,-0.1517,-0.0211654,1.01458,-0.0258709,-0.0848218,1.49033,-0.120986,-0.204941,0.0620588,-0.156045,-0.141857,1.43477,-0.679751,-0.0691105,1.44689,-0.678493,-0.277518,1.26792,0.0107887
6,0.0499534,-0.0413613,1.46335,0.00151384,-0.0560592,0.0943582,0.183551,-0.157517,0.996965,0.163313,-0.0472622,1.43854,0.43854,-0.0575766,1.44878,0.726994,0.0209371,0.0617672,0.137222,-0.122704,0.479994,0.172682,-0.0221884,1.01782,0.0350597,-0.0786571,1.49294,0.119413,-0.21838,0.0651363,0.116253,-0.111858,1.39079,0.682637,-0.038896,1.38577,0.676227,-0.0380705,0.100424,-0.158263,-0.156792,0.990024,-0.151709,-0.0777783,1.46033,-0.425004,-0.0976597,1.51661,-0.715523,0.0204453,0.0609339,-0.0776573,-0.107984,0.495709,-0.151678,-0.0211475,1.01455,-0.0257901,-0.0846761,1.49034,-0.120936,-0.204935,0.062034,-0.156048,-0.141978,1.43491,-0.6797,-0.0692002,1.44704,-0.678462,-0.277481,1.26794,0.0107283
7,0.0599441,-0.0412809,1.46329,0.00155015,-0.0560644,0.0943509,0.183564,-0.157571,0.996945,0.163348,-0.0473715,1.43842,0.438576,-0.0578113,1.44867,0.726927,0.020969,0.061818,0.137302,-0.122735,0.47997,0.172692,-0.0221991,1.01781,0.0351364,-0.0785671,1.49291,0.119396,-0.218378,0.0651376,0.116248,-0.112155,1.39068,0.682623,-0.039218,1.3856,0.676249,-0.0380617,0.100424,-0.158249,-0.156724,0.990015,-0.151684,-0.077752,1.4604,-0.424943,-0.0978056,1.5167,-0.715494,0.0204371,0.0609263,-0.0776456,-0.107962,0.495692,-0.151656,-0.0211244,1.01452,-0.0257138,-0.0845283,1.49035,-0.120879,-0.204944,0.0620331,-0.156043,-0.1421,1.435,-0.679643,-0.0693305,1.44712,-0.678436,-0.277442,1.26798,0.0106724
8,0.0699348,-0.0412055,1.46325,0.001573,-0.0560624,0.0943465,0.183573,-0.15762,0.996928,0.163379,-0.0474824,1.4383,0.438605,-0.0580948,1.44847,0.726949,0.020962,0.061777,0.137288,-0.122751,0.47996,0.172705,-0.0222001,1.01779,0.0352136,-0.0784716,1.49289,0.119383,-0.218373,0.0651334,0.116245,-0.112454,1.39055,0.682588,-0.0395193,1.38542,0.676277,-0.0380481,0.100416,-0.158241,-0.156658,0.990005,-0.151658,-0.0777099,1.46042,-0.424907,-0.097934,1.51676,-0.715482,0.0204328,0.0609328,-0.0776423,-0.107927,0.495686,-0.151638,-0.0211081,1.01449,-0.0256384,-0.0843895,1.49036,-0.120828,-0.204948,0.0620372,-0.156028,-0.142216,1.43506,-0.679585,-0.069443,1.44717,-0.678435,-0.277402,1.26802,0.0106257
9,0.0799255,-0.0411199,1.46322,0.00157652,-0.0560594,0.0943457,0.183573,-0.157669,0.996915,0.163402,-0.0476024,1.43818,0.438643,-0.058433,1.44823,0.727065,0.0209725,0.0617744,0.13732,-0.122769,0.479957,0.172727,-0.0221961,1.01777,0.0352938,-0.078384,1.49286,0.119379,-0.218369,0.0651324,0.116245,-0.112757,1.39041,0.682559,-0.039829,1.38522,0.676317,-0.0380411,0.100431,-0.158249,-0.156602,0.989994,-0.151631,-0.077643,1.4604,-0.424892,-0.0980414,1.5168,-0.715481,0.0204335,0.0609355,-0.0776434,-0.107894,0.495694,-0.151623,-0.0210933,1.01447,-0.0255772,-0.0842569,1.49037,-0.120788,-0.204937,0.0620317,-0.15601,-0.142321,1.43511,-0.679537,-0.0695104,1.44721,-0.678424,-0.277368,1.26805,0.0105942
10,0.0899162,-0.0410249,1.4632,0.00157882,-0.0560555,0.0943422,0.183574,-0.157723,0.996905,0.163425,-0.0477338,1.43807,0.438694,-0.0587454,1.44801,0.727159,0.0210109,0.0618436,0.137381,-0.122795,0.479954,0.172748,-0.0221967,1.01776,0.035363,-0.0782991,1.49282,0.119392,-0.218376,0.0651395,0.116241,-0.113081,1.39028,0.682526,-0.0401274,1.38502,0.676354,-0.0380364,0.100428,-0.158247,-0.156552,0.989992,-0.151609,-0.0775735,1.46037,-0.42489,-0.0981331,1.51682,-0.715474,0.0204378,0.0609358,-0.0776365,-0.107873,0.495697,-0.151604,-0.0210732,1.01445,-0.0255228,-0.0841277,1.49037,-0.120752,-0.204933,0.0620293,-0.156009,-0.142406,1.43515,-0.679492,-0.0695784,1.44724,-0.678396,-0.277305,1.26808,0.0105747
