Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40,RASI
All Timesteps RMSE,0.0247127,0.0156378,0.0143974,0.0486734,0.0471363,0.0374306,0.0664785,0.0385651,0.0343932,0.0168789,0.0202588,0.022962,0.0234077,0.0182731,0.0109819,0.0225546,0.0252205,0.0350846,0.0374953,0.0117688,0.0292772,0.0493495,0.032699,0.0636589,0.0704468,0.0311509,0.0159335,0.0127229,0.0298337,0.0268189,0.0252609,0.0114373,0.0183852,0.0234076,0.0388786,0.0518911,0.0262185,0.0450784,0,0,0.0539413
0,0.0306706,0.00795499,0.0102077,0.0229724,0.0896067,0.0228985,0.137263,0.0191269,0.00251763,0.00416345,0.0202019,0.0178075,0.008297,0.0102494,0.00694003,0.00896035,0.0191902,0.017193,0.015368,0.00579608,0.0133999,0.0642391,0.0121949,0.0992546,0.0293124,0.00680107,0.00800787,0.0116703,0.0284223,0.0151258,0.00898155,0.0107964,0.00473837,0.00413452,0.0117824,0.00184872,0.0140261,0.0415445,0,0,0
1,0.0309664,0.00825022,0.0103269,0.022649,0.0899192,0.0213016,0.137465,0.0192809,0.00229571,0.00402664,0.0198429,0.0177923,0.00780974,0.0113037,0.00735309,0.00932975,0.0185967,0.017066,0.0143336,0.00555014,0.013863,0.0644248,0.0118663,0.0994954,0.0280081,0.00682449,0.00777777,0.0119247,0.0276843,0.015507,0.00938212,0.011153,0.00460484,0.0037494,0.0119905,0.00156784,0.0146374,0.0415011,0,0,0
2,0.0311851,0.00845145,0.0104119,0.0224099,0.0901366,0.0199065,0.137572,0.0194339,0.00261137,0.00387398,0.019617,0.017828,0.00741984,0.0124376,0.00757363,0.00971475,0.0181245,0.0170203,0.0139776,0.00558376,0.0142742,0.0644594,0.0118468,0.0996823,0.0271648,0.00676398,0.00788256,0.0120963,0.0270627,0.0158892,0.0097381,0.0114743,0.00448051,0.00336735,0.0118618,0.00177456,0.0151767,0.041436,0,0,0
3,0.0313437,0.00857917,0.0104355,0.0222908,0.0902915,0.0187136,0.13762,0.01955,0.00316002,0.00374188,0.0195505,0.0178741,0.00714515,0.0134545,0.0077188,0.0101731,0.0177152,0.0169798,0.0135376,0.0056952,0.0146429,0.0644635,0.0119982,0.0998196,0.0266987,0.00665052,0.00777968,0.0123134,0.026576,0.0161304,0.0100555,0.0117826,0.00435549,0.00343428,0.0116118,0.00215968,0.0156406,0.041348,0,0,0
4,0.0314442,0.00861104,0.0103989,0.0222855,0.0903773,0.017752,0.137633,0.0196488,0.00371507,0.00356785,0.0196172,0.0179077,0.00699778,0.0142851,0.00759612,0.0108041,0.0173689,0.0169298,0.0132144,0.00580086,0.0149531,0.0645023,0.0122538,0.0999059,0.0265484,0.00645602,0.0077378,0.0125667,0.0262091,0.0162058,0.0103456,0.0120574,0.00422675,0.00358586,0.011342,0.00251321,0.0160326,0.041305,0,0,0
5,0.0314735,0.00855468,0.0103054,0.0223805,0.0904482,0.0170117,0.137626,0.0197308,0.00417297,0.00325131,0.0196895,0.0179275,0.0069775,0.0151202,0.00727565,0.01169,0.0170992,0.0168929,0.013034,0.00588344,0.0152045,0.0645061,0.0126063,0.0999628,0.0266857,0.00619497,0.00776052,0.0127965,0.0259718,0.0161603,0.0106092,0.012334,0.00410695,0.00377406,0.0110672,0.00278625,0.0163521,0.0412963,0,0,0
6,0.03148,0.00846259,0.0101395,0.0225009,0.090533,0.0164642,0.137606,0.0198166,0.00454994,0.00292162,0.0197851,0.0178866,0.00706406,0.015666,0.00708537,0.0127395,0.0168327,0.0169063,0.0129134,0.00592884,0.0153859,0.064414,0.0130093,0.100018,0.027077,0.00589233,0.00779789,0.0128708,0.0258176,0.0160623,0.0108063,0.0126393,0.00402123,0.00400953,0.0107465,0.00298807,0.0166014,0.0412515,0,0,0
7,0.0314922,0.00834855,0.00988626,0.0226657,0.0906389,0.0160764,0.1376,0.0198914,0.00484109,0.00256172,0.0198976,0.0178014,0.00720217,0.0157941,0.00698366,0.0136242,0.0166604,0.0169385,0.0128253,0.00595413,0.0155365,0.0642935,0.0134474,0.100109,0.0276964,0.00560052,0.00784331,0.0129235,0.0257293,0.0159142,0.0108535,0.0128069,0.00395252,0.00431256,0.0101897,0.00314353,0.0167748,0.0411548,0,0,0
8,0.03148,0.00820594,0.00968544,0.0228622,0.0907635,0.0158254,0.137657,0.019938,0.00507261,0.00236699,0.0199985,0.017701,0.00736592,0.0155333,0.00696769,0.0140554,0.0166087,0.0169782,0.0127661,0.00598294,0.0156629,0.0642315,0.0138989,0.100245,0.0285058,0.00531364,0.00790612,0.0129709,0.0257144,0.0157302,0.0108156,0.0128812,0.00389969,0.00475151,0.00972534,0.00328849,0.0168791,0.0410156,0,0,0
